Level(HelloThere):
         Player(60 , 525,heroball.png, Behaviour(5,5,5.0,DEFAULT, True))
         Object(0, 600, awoodfloor.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(420, 600, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(200, 300, astoneplat.png, Behaviour(0,0,0.0, DEFAULT, False))
         Mob(200, 275, doomball.png, Behaviour(150,1,2.0, CONTINUOUS, True))
         Object(45, 80, astoneplat.png, Behaviour(0,120,2.0, LOOP, False))
         Object(200, 120, awoodplat.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(420, 145, awoodplat.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(755, 600, astoneplat.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(525, 400, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(1000, 510, awoodfloor.png, Behaviour(0,0,0.0, DEFAULT, False))
         Mob(615, 435, doomball.png, Behaviour(150,0,2.0, LOOP, False))
         Object(635, 590, awoodplat.png, Behaviour(0,0,0.0, DEFAULT, False))
         Goal(750, 575, arockorange.png, Behaviour(0,0,0.0, DEFAULT, False))
         end
Level(LookOut):
         Player(60 , 525,crystalball.png, Behaviour(5,5,8.0,DEFAULT, False))
         Object(400, 600, awoodfloor.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(400, 75, awoodfloor.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(0, 525, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(0, 325, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Mob(400, 150, bigdeathball.png, Behaviour(0,400,3.0, LOOP, False))
         Object(0, 125, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(800, 525, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(800, 325, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Object(800, 125, astonewall.png, Behaviour(0,0,0.0, DEFAULT, False))
         Mob(215, 420, bigdeathball.png, Behaviour(150,0,8.0, CONTINUOUS, False))
         Mob(515, 125, bigdeathball.png, Behaviour(150,0,5.0, CONTINUOUS, False))
         Mob(415, 225, bigdeathball.png, Behaviour(150,0,10.0, CONTINUOUS, False))
         Mob(615, 325, bigdeathball.png, Behaviour(150,0,5.0, CONTINUOUS, False))
         Mob(325, 500, bigdeathball.png, Behaviour(150,0,3.0, CONTINUOUS, False))
         Goal(710, 140, arockorange.png, Behaviour(0,0,0.0, DEFAULT, False))
         end


